Filename	Sample_Type	Subject	Timepoint_min	Sampling_Location	Comments
skin_04_600_OF.mzXML	skin	Subject_4	600	forearm	
skin_04_600_UB.mzXML	skin	Subject_4	600	upper back	
skin_04_720_FH.mzXML	skin	Subject_4	720	forehead	
skin_04_720_OF.mzXML	skin	Subject_4	720	forearm	
skin_04_720_UB.mzXML	skin	Subject_4	720	upper back	
skin_04_90_FH.mzXML	skin	Subject_4	90	forehead	
skin_04_90_OF.mzXML	skin	Subject_4	90	forearm	
skin_04_90_UB.mzXML	skin	Subject_4	90	upper back	
skin_05_0_FH.mzXML	skin	Subject_5	0	forehead	
skin_05_0_OF.mzXML	skin	Subject_5	0	forearm	
skin_05_0_UB.mzXML	skin	Subject_5	0	upper back	
skin_05_120_FH.mzXML	skin	Subject_5	120	forehead	
skin_05_120_OF.mzXML	skin	Subject_5	120	forearm	
skin_05_120_UB.mzXML	skin	Subject_5	120	upper back	
skin_05_1440_FH.mzXML	skin	Subject_5	1440	forehead	
skin_05_1440_OF.mzXML	skin	Subject_5	1440	forearm	
skin_05_1440_UB.mzXML	skin	Subject_5	1440	upper back	
skin_05_240_FH.mzXML	skin	Subject_5	240	forehead	
skin_05_240_OF.mzXML	skin	Subject_5	240	forearm	
skin_05_240_UB.mzXML	skin	Subject_5	240	upper back	
skin_05_30_FH.mzXML	skin	Subject_5	30	forehead	
skin_05_30_OF.mzXML	skin	Subject_5	30	forearm	
skin_05_30_UB.mzXML	skin	Subject_5	30	upper back	
skin_05_360_FH.mzXML	skin	Subject_5	360	forehead	
skin_05_360_OF.mzXML	skin	Subject_5	360	forearm	
skin_05_360_UB.mzXML	skin	Subject_5	360	upper back	
skin_05_480_FH.mzXML	skin	Subject_5	480	forehead	
skin_05_480_OF.mzXML	skin	Subject_5	480	forearm	
skin_05_480_UB.mzXML	skin	Subject_5	480	upper back	
skin_05_60_FH.mzXML	skin	Subject_5	60	forehead	
skin_05_60_OF.mzXML	skin	Subject_5	60	forearm	
skin_05_60_UB.mzXML	skin	Subject_5	60	upper back	
skin_05_600_FH.mzXML	skin	Subject_5	600	forehead	
skin_05_600_OF.mzXML	skin	Subject_5	600	forearm	
skin_05_600_UB.mzXML	skin	Subject_5	600	upper back	
skin_05_720_FH.mzXML	skin	Subject_5	720	forehead	
skin_05_720_OF.mzXML	skin	Subject_5	720	forearm	
skin_05_720_UB.mzXML	skin	Subject_5	720	upper back	
skin_05_90_FH.mzXML	skin	Subject_5	90	forehead	
skin_05_90_OF.mzXML	skin	Subject_5	90	forearm	
skin_05_90_UB.mzXML	skin	Subject_5	90	upper back	
skin_07_0_FH.mzXML	skin	Subject_7	0	forehead	
skin_07_0_OF.mzXML	skin	Subject_7	0	forearm	
skin_07_0_UB.mzXML	skin	Subject_7	0	upper back	
skin_07_120_FH.mzXML	skin	Subject_7	120	forehead	
skin_07_120_OF.mzXML	skin	Subject_7	120	forearm	
skin_07_120_UB.mzXML	skin	Subject_7	120	upper back	
skin_07_1440_FH.mzXML	skin	Subject_7	1440	forehead	
skin_07_1440_OF.mzXML	skin	Subject_7	1440	forearm	
skin_07_1440_UB.mzXML	skin	Subject_7	1440	upper back	
skin_07_240_FH.mzXML	skin	Subject_7	240	forehead	
skin_07_240_OF.mzXML	skin	Subject_7	240	forearm	
skin_07_240_UB.mzXML	skin	Subject_7	240	upper back	
skin_07_30_FH.mzXML	skin	Subject_7	30	forehead	
skin_07_30_OF.mzXML	skin	Subject_7	30	forearm	
skin_07_30_UB.mzXML	skin	Subject_7	30	upper back	
skin_07_360_FH.mzXML	skin	Subject_7	360	forehead	
skin_07_360_OF.mzXML	skin	Subject_7	360	forearm	
skin_07_360_UB.mzXML	skin	Subject_7	360	upper back	
skin_07_480_FH.mzXML	skin	Subject_7	480	forehead	
skin_07_480_OF.mzXML	skin	Subject_7	480	forearm	
skin_07_480_UB.mzXML	skin	Subject_7	480	upper back	
skin_07_60_FH.mzXML	skin	Subject_7	60	forehead	
skin_07_60_OF.mzXML	skin	Subject_7	60	forearm	
skin_07_60_UB.mzXML	skin	Subject_7	60	upper back	
skin_07_600_FH.mzXML	skin	Subject_7	600	forehead	
skin_07_600_OF.mzXML	skin	Subject_7	600	forearm	
skin_07_600_UB.mzXML	skin	Subject_7	600	upper back	
skin_07_720_FH.mzXML	skin	Subject_7	720	forehead	
skin_07_720_OF.mzXML	skin	Subject_7	720	forearm	
skin_07_720_UB.mzXML	skin	Subject_7	720	upper back	
skin_07_90_FH.mzXML	skin	Subject_7	90	forehead	
skin_07_90_OF.mzXML	skin	Subject_7	90	forearm	
skin_07_90_UB.mzXML	skin	Subject_7	90	upper back	
skin_08_0_FH.mzXML	skin	Subject_8	0	forehead	
skin_08_0_OF.mzXML	skin	Subject_8	0	forearm	
skin_08_0_UB.mzXML	skin	Subject_8	0	upper back	
skin_08_120_FH.mzXML	skin	Subject_8	120	forehead	
skin_08_120_OF.mzXML	skin	Subject_8	120	forearm	
skin_08_120_UB.mzXML	skin	Subject_8	120	upper back	
skin_08_1440_FH.mzXML	skin	Subject_8	1440	forehead	
skin_08_1440_OF.mzXML	skin	Subject_8	1440	forearm	
skin_08_1440_UB.mzXML	skin	Subject_8	1440	upper back	
skin_08_240_FH.mzXML	skin	Subject_8	240	forehead	
skin_08_240_OF.mzXML	skin	Subject_8	240	forearm	
skin_08_240_UB.mzXML	skin	Subject_8	240	upper back	
skin_08_30_FH.mzXML	skin	Subject_8	30	forehead	
skin_08_30_OF.mzXML	skin	Subject_8	30	forearm	
skin_08_30_UB.mzXML	skin	Subject_8	30	upper back	
